1 Pot,Calgary,AB,31,3.500000,Buffets; Chinese; Hot Pot; Restaurants; Dim Sum; Asian Fusion; Fondue
BRGR,Pittsburgh,PA,442,3.500000,American (Traditional); Caterers; Burgers; Event Planning & Services; Restaurants
Brown Derby,Cleveland,OH,52,3.000000,Nightlife; Bars; Wine Bars; Restaurants; Steakhouses
Eureka!,Las Vegas,NV,231,4.500000,Breakfast & Brunch; Nightlife; Restaurants; Cocktail Bars; American (Traditional); Bars
Faberge,Montreal,QC,347,4.000000,Restaurants; Creperies; Burgers; Breakfast & Brunch
Le Lab,Montreal,QC,230,4.500000,Nightlife; Restaurants; Tapas/Small Plates; Cocktail Bars; Bars
Poke Bar,Charlotte,NC,26,4.000000,Food; Restaurants; Asian Fusion; Sushi Bars; Poke; Hawaiian
POP,Toronto,ON,4,4.500000,Salad; Food; Restaurants; Acai Bowls; Juice Bars & Smoothies; Vegan
The Dog House,Cleveland,OH,10,4.000000,American (New); Restaurants; Food; Hot Dogs
The Haam,Toronto,ON,83,4.000000,Restaurants; Bars; Breakfast & Brunch; Sushi Bars; Japanese; Mexican; Asian Fusion; Nightlife; Korean
Vitality Tap,Calgary,AB,7,4.500000,Food; Gluten-Free; Restaurants; Juice Bars & Smoothies
Wacky Wings,Mississauga,ON,96,3.000000,Restaurants; Pubs; Burgers; Pizza; Nightlife; Bars; Chicken Wings
