#1 Hawaiian Barbecue,Las Vegas,NV,40,3.500000,Restaurants; Hawaiian; Seafood; Barbeque
#1 Sushi,Phoenix,AZ,64,4.000000,Asian Fusion; Restaurants; Japanese; Sushi Bars
&Company Resto Bar,Mississauga,ON,47,2.500000,Wine Bars; Venues & Event Spaces; American (Traditional); American (New); Restaurants; Bars; Canadian (New); Nightlife; Dance Clubs; Event Planning & Services; Party & Event Planning
'ONO Poke Bar,Toronto,ON,82,4.000000,Poke; Asian Fusion; Hawaiian; Food; Restaurants; Sushi Bars
'Turel,Montreal,QC,11,4.000000,Breakfast & Brunch; Food; Sandwiches; Restaurants; Juice Bars & Smoothies
00 Gelato,Toronto,ON,61,4.500000,Belgian; Waffles; Restaurants; Ice Cream & Frozen Yogurt; Desserts; Food
0109 Dessert & Chocolate,Toronto,ON,194,3.500000,Desserts; Cafes; Food; Specialty Food; Restaurants; Chocolatiers & Shops
1 Love Kitchen,Toronto,ON,12,3.000000,Caribbean; Restaurants
1 Plus 2 Pizza & Wings,Toronto,ON,5,2.000000,Pizza; Restaurants; Food; Chicken Wings
1 Pot,Calgary,AB,31,3.500000,Buffets; Chinese; Hot Pot; Restaurants; Dim Sum; Asian Fusion; Fondue
100 Percent Korean,Toronto,ON,191,4.500000,Korean; Restaurants
100% Korean Restaurant,Toronto,ON,16,3.000000,Restaurants; Korean
100% Natural Mexican Grill,Las Vegas,NV,10,3.500000,Mexican; Restaurants
1000 Degrees Neapolitan Pizzeria,Phoenix,AZ,200,4.500000,Restaurants; Pizza; Italian
1000 Grammes,Montreal,QC,19,3.500000,Cafes; Sandwiches; Restaurants
100th Bomb Group,Cleveland,OH,150,3.000000,Restaurants; Venues & Event Spaces; Event Planning & Services; Sandwiches; American (New); African
100C,Las Vegas,NV,46,4.000000,Taiwanese; Hot Pot; Chinese; Restaurants
101 Asian Buffet,Phoenix,AZ,32,3.000000,Restaurants; Buffets; Chinese
101 Bistro,Phoenix,AZ,7,3.500000,Greek; American (New); Restaurants; Mediterranean
1130 The Restaurant,Phoenix,AZ,235,3.500000,Restaurants; American (New); Steakhouses; American (Traditional)
12 East Cafe,Phoenix,AZ,8,3.000000,American (New); Restaurants; Breakfast & Brunch
12 O' lunch,Toronto,ON,11,3.500000,Korean; Restaurants
12 Tables,Toronto,ON,11,4.500000,Italian; Mediterranean; Restaurants
120 Diner,Toronto,ON,23,4.000000,Comfort Food; Comedy Clubs; Restaurants; Nightlife; Diners; Cabaret; Arts & Entertainment; Jazz & Blues
123 Bulgogi,Montreal,QC,10,3.000000,Barbeque; Restaurants; Korean; Japanese; Ramen; Pan Asian
12th Fairway Bar & Grill,Phoenix,AZ,22,2.000000,American (Traditional); Restaurants
131 Main,Charlotte,NC,22,5.000000,American (New); Restaurants
